id,bucket
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,32
33,33
34,34
35,35
36,36
37,37
38,38
39,39
40,40
41,41
42,42
43,43
44,44
45,45
46,46
47,47
48,48
49,49
50,50
51,51
52,52
53,53
54,54
55,55
56,56
57,57
58,58
59,59
60,60
61,61
62,62
63,63
64,64
65,65
66,66
67,67
68,68
69,69
70,70
71,71
72,72
73,73
74,74
75,75
76,76
77,77
78,78
79,79
80,80
81,81
82,82
83,83
84,84
85,85
86,86
87,87
88,88
89,89
90,90
91,91
92,92
93,93
94,94
95,95
96,96
97,97
98,98
99,99
100,0
101,1
102,2
103,3
104,4
105,5
106,6
107,7
108,8
109,9
110,10
111,11
112,12
113,13
114,14
115,15
116,16
117,17
118,18
119,19
120,20
121,21
122,22
123,23
124,24
125,25
126,26
127,27
128,28
129,29
130,30
131,31
132,32
133,33
134,34
135,35
136,36
137,37
138,38
139,39
140,40
141,41
142,42
143,43
144,44
145,45
146,46
147,47
148,48
149,49
150,50
151,51
152,52
153,53
154,54
155,55
156,56
157,57
158,58
159,59
160,60
161,61
162,62
163,63
164,64
165,65
166,66
167,67
168,68
169,69
170,70
171,71
172,72
173,73
174,74
175,75
176,76
177,77
178,78
179,79
180,80
181,81
182,82
183,83
184,84
185,85
186,86
187,87
188,88
189,89
190,90
191,91
192,92
193,93
194,94
195,95
196,96
197,97
198,98
199,99
200,0
201,1
202,2
203,3
204,4
205,5
206,6
207,7
208,8
209,9
210,10
211,11
212,12
213,13
214,14
215,15
216,16
217,17
218,18
219,19
220,20
221,21
222,22
223,23
224,24
225,25
226,26
227,27
228,28
229,29
230,30
231,31
232,32
233,33
234,34
235,35
236,36
237,37
238,38
239,39
240,40
241,41
242,42
243,43
244,44
245,45
246,46
247,47
248,48
249,49
250,50
251,51
252,52
253,53
254,54
255,55
256,56
257,57
258,58
259,59
260,60
261,61
262,62
263,63
264,64
265,65
266,66
267,67
268,68
269,69
270,70
271,71
272,72
273,73
274,74
275,75
276,76
277,77
278,78
279,79
280,80
281,81
282,82
283,83
284,84
285,85
286,86
287,87
288,88
289,89
290,90
291,91
292,92
293,93
294,94
295,95
296,96
297,97
298,98
299,99
300,0
301,1
302,2
303,3
304,4
305,5
306,6
307,7
308,8
309,9
310,10
311,11
312,12
313,13
314,14
315,15
316,16
317,17
318,18
319,19
320,20
321,21
322,22
323,23
324,24
325,25
326,26
327,27
328,28
329,29
330,30
331,31
332,32
333,33
334,34
335,35
336,36
337,37
338,38
339,39
340,40
341,41
342,42
343,43
344,44
345,45
346,46
347,47
348,48
349,49
350,50
351,51
352,52
353,53
354,54
355,55
356,56
357,57
358,58
359,59
360,60
361,61
362,62
363,63
364,64
365,65
366,66
367,67
368,68
369,69
370,70
371,71
372,72
373,73
374,74
375,75
376,76
377,77
378,78
379,79
380,80
381,81
382,82
383,83
384,84
385,85
386,86
387,87
388,88
389,89
390,90
391,91
392,92
393,93
394,94
395,95
396,96
397,97
398,98
399,99
400,0
401,1
402,2
403,3
404,4
405,5
406,6
407,7
408,8
409,9
410,10
411,11
412,12
413,13
414,14
415,15
416,16
417,17
418,18
419,19
420,20
421,21
422,22
423,23
424,24
425,25
426,26
427,27
428,28
429,29
430,30
431,31
432,32
433,33
434,34
435,35
436,36
437,37
438,38
439,39
440,40
441,41
442,42
443,43
444,44
445,45
446,46
447,47
448,48
449,49
450,50
451,51
452,52
453,53
454,54
455,55
456,56
457,57
458,58
459,59
460,60
461,61
462,62
463,63
464,64
465,65
466,66
467,67
468,68
469,69
470,70
471,71
472,72
473,73
474,74
475,75
476,76
477,77
478,78
479,79
480,80
481,81
482,82
483,83
484,84
485,85
486,86
487,87
488,88
489,89
490,90
491,91
492,92
493,93
494,94
495,95
496,96
497,97
498,98
499,99
500,0
501,1
502,2
503,3
504,4
505,5
506,6
507,7
508,8
509,9
510,10
511,11
512,12
513,13
514,14
515,15
516,16
517,17
518,18
519,19
520,20
521,21
522,22
523,23
524,24
525,25
526,26
527,27
528,28
529,29
530,30
531,31
532,32
533,33
534,34
535,35
536,36
537,37
538,38
539,39
540,40
541,41
542,42
543,43
544,44
545,45
546,46
547,47
548,48
549,49
550,50
551,51
552,52
553,53
554,54
555,55
556,56
557,57
558,58
559,59
560,60
561,61
562,62
563,63
564,64
565,65
566,66
567,67
568,68
569,69
570,70
571,71
572,72
573,73
574,74
575,75
576,76
577,77
578,78
579,79
580,80
581,81
582,82
583,83
584,84
585,85
586,86
587,87
588,88
589,89
590,90
591,91
592,92
593,93
594,94
595,95
596,96
597,97
598,98
599,99
600,0
601,1
602,2
603,3
604,4
605,5
606,6
607,7
608,8
609,9
610,10
611,11
612,12
613,13
614,14
615,15
616,16
617,17
618,18
619,19
620,20
621,21
622,22
623,23
624,24
625,25
626,26
627,27
628,28
629,29
630,30
631,31
632,32
633,33
634,34
635,35
636,36
637,37
638,38
639,39
640,40
641,41
642,42
643,43
644,44
645,45
646,46
647,47
648,48
649,49
650,50
651,51
652,52
653,53
654,54
655,55
656,56
657,57
658,58
659,59
660,60
661,61
662,62
663,63
664,64
665,65
666,66
667,67
668,68
669,69
670,70
671,71
672,72
673,73
674,74
675,75
676,76
677,77
678,78
679,79
680,80
681,81
682,82
683,83
684,84
685,85
686,86
687,87
688,88
689,89
690,90
691,91
692,92
693,93
694,94
695,95
696,96
697,97
698,98
699,99
700,0
701,1
702,2
703,3
704,4
705,5
706,6
707,7
708,8
709,9
710,10
711,11
712,12
713,13
714,14
715,15
716,16
717,17
718,18
719,19
720,20
721,21
722,22
723,23
724,24
725,25
726,26
727,27
728,28
729,29
730,30
731,31
732,32
733,33
734,34
735,35
736,36
737,37
738,38
739,39
740,40
741,41
742,42
743,43
744,44
745,45
746,46
747,47
748,48
749,49
750,50
751,51
752,52
753,53
754,54
755,55
756,56
757,57
758,58
759,59
760,60
761,61
762,62
763,63
764,64
765,65
766,66
767,67
768,68
769,69
770,70
771,71
772,72
773,73
774,74
775,75
776,76
777,77
778,78
779,79
780,80
781,81
782,82
783,83
784,84
785,85
786,86
787,87
788,88
789,89
790,90
791,91
792,92
793,93
794,94
795,95
796,96
797,97
798,98
799,99
800,0
801,1
802,2
803,3
804,4
805,5
806,6
807,7
808,8
809,9
810,10
811,11
812,12
813,13
814,14
815,15
816,16
817,17
818,18
819,19
820,20
821,21
822,22
823,23
824,24
825,25
826,26
827,27
828,28
829,29
830,30
831,31
832,32
833,33
834,34
835,35
836,36
837,37
838,38
839,39
840,40
841,41
842,42
843,43
844,44
845,45
846,46
847,47
848,48
849,49
850,50
851,51
852,52
853,53
854,54
855,55
856,56
857,57
858,58
859,59
860,60
861,61
862,62
863,63
864,64
865,65
866,66
867,67
868,68
869,69
870,70
871,71
872,72
873,73
874,74
875,75
876,76
877,77
878,78
879,79
880,80
881,81
882,82
883,83
884,84
885,85
886,86
887,87
888,88
889,89
890,90
891,91
892,92
893,93
894,94
895,95
896,96
897,97
898,98
899,99
900,0
901,1
902,2
903,3
904,4
905,5
906,6
907,7
908,8
909,9
910,10
911,11
912,12
913,13
914,14
915,15
916,16
917,17
918,18
919,19
920,20
921,21
922,22
923,23
924,24
925,25
926,26
927,27
928,28
929,29
930,30
931,31
932,32
933,33
934,34
935,35
936,36
937,37
938,38
939,39
940,40
941,41
942,42
943,43
944,44
945,45
946,46
947,47
948,48
949,49
950,50
951,51
952,52
953,53
954,54
955,55
956,56
957,57
958,58
959,59
960,60
961,61
962,62
963,63
964,64
965,65
966,66
967,67
968,68
969,69
970,70
971,71
972,72
973,73
974,74
975,75
976,76
977,77
978,78
979,79
980,80
981,81
982,82
983,83
984,84
985,85
986,86
987,87
988,88
989,89
990,90
991,91
992,92
993,93
994,94
995,95
996,96
997,97
998,98
999,99
1000,0
1001,1
1002,2
1003,3
1004,4
1005,5
1006,6
1007,7
1008,8
1009,9
1010,10
1011,11
1012,12
1013,13
1014,14
1015,15
1016,16
1017,17
1018,18
1019,19
1020,20
1021,21
1022,22
1023,23
1024,24
1025,25
1026,26
1027,27
1028,28
1029,29
1030,30
1031,31
1032,32
1033,33
1034,34
1035,35
1036,36
1037,37
1038,38
1039,39
1040,40
1041,41
1042,42
1043,43
1044,44
1045,45
1046,46
1047,47
1048,48
1049,49
1050,50
1051,51
1052,52
1053,53
1054,54
1055,55
1056,56
1057,57
1058,58
1059,59
1060,60
